,SuperInsulating_01445,Simple 1001,SuperInsulating_00795,DistrictHeating:Facility,DistrictCooling:Facility,Electricity:Facility
0,0.5,3.6,0.01,48902781042.8215,21786197715.065605,50452844768.26758
1,0.5,3.6,0.108,39427729026.778,19713081576.362087,50452844768.26758
2,0.5,3.6,0.20600000000000002,38052527941.52118,19214271465.498146,50452844768.26758
3,0.5,3.6,0.30400000000000005,37500123299.18326,18952499879.685207,50452844768.26758
4,0.5,3.6,0.402,37203779650.40267,18893360836.42918,50452844768.26758
5,0.5,3.6,0.5,37019274588.06384,18850055597.01046,50452844768.26758
