,Thickness_0,Thickness_1,U-Factor,DistrictCooling:Facility,DistrictHeating:Facility,PredictedCooling,PredictedHeating
121,0.4577731932128505,0.8744005820252918,2.4554386203123535,20665444746.607483,42132199904.583885,-0.46424118332189684,-0.5500693429994513
135,0.45507914896940077,0.33016686413289487,1.3938974076115673,20741111413.08291,43106929970.60807,-0.383531070885238,-0.3966368859105663
362,0.052048066594507,0.6968385364587829,4.59243640216176,24084516768.075367,62176552372.54414,-0.14461498870113285,-0.2549997818262372
383,0.7022823661136708,0.03408548382082675,3.2797385301377653,21157944282.001846,50322844130.15542,-0.5266235057313294,-0.49656334136382313
423,0.6358369940885847,0.43139684486129887,0.4679906077522735,20481416596.922157,41761460741.965,-0.5291014580072317,-0.5341206990462598
156,0.8324053398134793,0.242986989495326,2.6612304501995285,20396537910.819977,42035897017.60604,-0.6507208515251806,-0.6316498942197639
89,0.5846819628626001,0.0726761607985615,2.5824497008927274,20953484407.893974,46624482055.46286,-0.444443505684754,-0.4238220494111237
177,0.3457587646547585,0.619786437662999,1.6116193566744124,20936722383.141586,43505590934.172905,-0.3444818843589866,-0.4027909637966948
86,0.9526976509762844,0.29630457625669787,1.4318952656026,20314006598.6133,41422378957.38707,-0.7445576640696013,-0.7143961429925704
426,0.7947826270862783,0.547869401896844,2.524633142110973,20367112643.2828,40993373994.34908,-0.6659171911680176,-0.6859079626932016
183,0.337285572204873,0.7850233599628568,0.7570417504723959,20961231965.713978,43446455187.66074,-0.3601361038008822,-0.43357309989539855
87,0.10828806342018785,0.026101036999644722,4.668787788923296,23133631904.20103,61805336539.242516,-0.0912991659927925,-0.11638541807120556
323,0.8715898709336564,0.7301174991379499,1.1295471277785827,20229573852.2974,40582119424.26304,-0.7457274196458323,-0.7726247172954547
271,0.8669119187333455,0.12017877086806501,1.298441498081993,20526032526.249203,43788349876.70455,-0.6563878273811459,-0.6107888169629601
241,0.8877774653859993,0.394717412692908,4.428350728285972,20308504983.05894,41139806770.71507,-0.7158957346878687,-0.7223835208472947
142,0.9796215817387428,0.07399812300874459,3.9812018600749215,20627701034.527092,45489693844.21448,-0.7373111278666536,-0.6947094537686875
174,0.03963055284586294,0.7061300923947291,0.33705528648966976,24824355112.789734,66912157414.268684,-0.129491580363438,-0.2141902610469571
284,0.015049904983642766,0.690274694341743,4.6216848124573575,28385793537.151253,85793094105.20058,-0.1165442671502698,-0.22925415591572837
208,0.9667011501847436,0.8819977833166294,3.8934412794812303,20166775272.262787,40238210193.24979,-0.8418437009085739,-0.8976817462420109
171,0.6769041915199694,0.6199367399946848,3.6394834927950246,20400721929.941795,41249173715.59118,-0.5913762568152924,-0.6367245969897319
484,0.8735644863812512,0.9080906304870833,1.5762901484964726,20226823484.2604,40412791490.42958,-0.7730958111695478,-0.8243384748297293
393,0.14283746444633627,0.7158605354546629,4.649356618874471,21900466496.996162,49198195545.29618,-0.21413042690426354,-0.32000384023709766
450,0.2999741368493361,0.3072260829912728,1.9726790268120802,21181550001.864895,44961326310.47017,-0.26728226016638834,-0.2936701170211687
44,0.14276458293800123,0.30231667943691015,2.9788350802959447,21994309607.71306,50056849100.85424,-0.1527687843034558,-0.1975837278135394
42,0.028809334343146857,0.30554332034105836,3.4028156262156197,25996453562.046585,73540048329.075,-0.07019664413178592,-0.12719704585696873
304,0.9708759501996267,0.10452184348343649,4.358312051209853,20526094832.785416,44076024127.41896,-0.735844276474383,-0.7001002625264713
126,0.458976050714842,0.5891644820172112,4.331296427709707,20678627632.173107,42424716457.138794,-0.4280403220597719,-0.4914345506176528
374,0.9531471723345845,0.11831184817160735,3.2649094995260777,20491757197.42593,43668191569.11381,-0.7228842484731559,-0.683074485118869
247,0.9613168139152202,0.013783144480055874,1.1393258498709846,21516351741.81313,55790797884.73229,-0.7104665703449214,-0.6434487366938829
418,0.5963496499773934,0.1265386033030933,2.262434244685226,20722233799.922363,44435152784.47614,-0.4600808703273596,-0.4429771754555228
316,0.7232158477501297,0.8088954074080272,1.323015364251371,20353612867.453484,40896473185.71964,-0.6481380117961006,-0.6976032871634891
243,0.36725373347685086,0.501041909378057,2.069029029413451,20893176660.214207,43429793015.47684,-0.34428627542201967,-0.3894802000975707
258,0.914301478020858,0.2981951291355028,2.4295429536097286,20333404068.789253,41488201644.44606,-0.7183175712342839,-0.6979427926223658
109,0.69171293672608,0.2878484696505233,2.0856566927305664,20484147008.22168,42120295301.139084,-0.5526635891240556,-0.5464156482554461
335,0.8719310533632555,0.5196797883029596,0.4441069271308742,20275169128.14463,40868368941.451324,-0.7150634833208176,-0.7119357091500101
165,0.276219712254023,0.45633526646102646,2.1880536162841135,21226941366.89824,44883742736.37912,-0.2712637280284012,-0.31902279311470066
64,0.19246914576272944,0.9354849421842549,3.7758887367316514,21530358700.56198,46588509876.43621,-0.28014449804422,-0.4030166332020645
