date,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),BLOCCO1:ZONA2:Zone Operative Temperature [C](Hourly),BLOCCO1:ZONA3:Zone Operative Temperature [C](Hourly),BLOCCO1:ZONA1:Zone Operative Temperature [C](Hourly),BLOCCO1:ZONA2:Zone Ventilation Sensible Heat Loss Energy [J](Hourly),BLOCCO1:ZONA3:Zone Ventilation Sensible Heat Loss Energy [J](Hourly),BLOCCO1:ZONA1:Zone Ventilation Sensible Heat Loss Energy [J](Hourly)
2018-11-24 21:00:00,2.275,14.288903629012669,14.655566662797199,14.289175771395703,10539878.041155897,2621616.982434541,10539880.407051416
2018-11-24 22:00:00,1.25,13.93975817580964,13.908373111495461,13.938942479898742,11693721.103486732,2767021.727409235,11693721.103891503
2018-11-24 23:00:00,0.7,13.579042410953072,13.557974620670016,13.576237843194491,12127383.75479915,2914047.2482936135,12125217.464849183
2018-11-24 00:00:00,0.225,13.088216420650266,13.279260974473686,13.083740258176466,12137538.12465166,3031336.677797201,12133934.701449735
2018-11-25 01:00:00,-0.2,12.612761391571613,12.874393813477239,12.606819815249008,12121766.024594005,3053742.8681629538,12116924.936652703
2018-11-25 02:00:00,-0.375,12.198748431921409,12.464122058074045,12.191498735667206,11919748.57839116,3003356.9121134738,11913803.339827932
2018-11-25 03:00:00,-0.475,11.828799856024931,12.083884190554356,11.820416426992695,11698375.825511215,2943629.203378883,11691486.809347855
2018-11-25 04:00:00,-0.575,11.476811590782466,11.719677611019057,11.467461794726972,11492417.354215655,2887603.749694124,11484726.74334041
2018-11-25 05:00:00,-0.75,11.127547621864442,11.360460782619295,11.117391165704463,11356772.040570928,2849751.144474708,11348413.646218855
2018-11-25 06:00:00,-0.95,10.78013956479282,11.006083404836657,10.769322858722754,11241270.842529837,2818306.500756138,11232362.122541083
2018-11-25 07:00:00,-1.15,10.441385201715406,10.660303458534475,10.430044591810145,11133187.96069931,2788720.975533247,11123843.025889756
2018-11-25 08:00:00,-0.525,10.254068367271223,10.444527631684684,10.242355804942262,10399483.769820932,2599651.28717761,10389901.747552987
2018-11-25 09:00:00,0.45,11.793068177669607,11.60904565329567,11.779838095645347,0.0,0.0,0.0
2018-11-25 10:00:00,1.375,12.598604378704913,12.157865760027269,12.584361565420938,0.0,0.0,0.0
2018-11-25 11:00:00,2.35,13.058016144442314,12.522404046736126,13.043054907604205,0.0,0.0,0.0
2018-11-25 12:00:00,3.275,13.408730609607018,12.853791991643705,13.393391192127426,0.0,0.0,0.0
2018-11-25 13:00:00,4.25,13.764588094283704,13.200818991959322,13.749073070382394,0.0,0.0,0.0
2018-11-25 14:00:00,4.875,14.107948254600384,13.543791972642815,14.092478821043954,0.0,0.0,0.0
2018-11-25 15:00:00,5.449999999999998,14.430716281010545,13.877653668865273,14.415455655726344,0.0,0.0,0.0
2018-11-25 16:00:00,5.975,14.738542398006313,14.201464476754994,14.723551298536018,0.0,0.0,0.0
2018-11-25 17:00:00,5.95,14.980240295956962,14.476430258473489,14.965514561577704,0.0,0.0,0.0
2018-11-25 18:00:00,5.675,15.152835684336603,14.6981329668517,15.138323456710673,0.0,0.0,0.0
2018-11-25 19:00:00,5.45,12.988783879453148,12.974672640203414,12.98063738649365,7201862.957171831,1691181.974754535,7200683.839493799
2018-11-25 20:00:00,5.324999999999998,12.705408464228494,12.714151175369713,12.69864283424016,7140428.096260486,1689477.349649515,7140428.589254928
2018-11-25 21:00:00,5.3,12.584530040874323,12.581965293610963,12.578301007095046,7167720.282201536,1695946.3087137374,7167720.288985735
2018-11-25 22:00:00,5.225,12.492371142028597,12.482493155862269,12.486565471066381,7249877.923014725,1715385.6300502168,7249877.92309505
2018-11-25 23:00:00,4.9750000000000005,12.419547389517104,12.405794475168994,12.414095590541338,7524365.496263966,1780331.833255996,7524365.496264933
2018-11-25 00:00:00,4.675,12.352018875503427,12.34471156136541,12.345941894950494,7837923.330533268,1858426.877235305,7835923.612221055
2018-11-26 01:00:00,4.375,10.607824474357534,11.007114624923313,10.599140320811673,4764929.057000438,1331386.9835641864,4757335.1538268635
2018-11-26 02:00:00,4.6,10.304917933634922,10.693989509132331,10.296888651418387,4442864.932006272,1249259.003101713,4436408.354202857
