,SuperInsulating_01445,SuperInsulating_00795,Simple 1001,DistrictHeating:Facility,DistrictCooling:Facility,Electricity:Facility
0,0.8,0.8,5.0,35746871127.869705,18133285284.019573,50452844768.26758
1,0.8,0.8,4.920338983050847,35746871127.869705,18133285284.019573,50452844768.26758
2,0.8,0.8,4.840677966101695,35746871127.869705,18133285284.019573,50452844768.26758
3,0.8,0.8,4.761016949152542,35746871127.869705,18133285284.019573,50452844768.26758
4,0.8,0.8,4.68135593220339,35746871127.869705,18133285284.019573,50452844768.26758
5,0.8,0.8,4.601694915254237,35746871127.869705,18133285284.019573,50452844768.26758
6,0.8,0.8,4.522033898305085,35746871127.869705,18133285284.019573,50452844768.26758
7,0.8,0.8,4.442372881355932,35746871127.869705,18133285284.019573,50452844768.26758
8,0.8,0.8,4.36271186440678,35746871127.869705,18133285284.019573,50452844768.26758
9,0.8,0.8,4.283050847457627,35746871127.869705,18133285284.019573,50452844768.26758
10,0.8,0.8,4.203389830508474,35746871127.869705,18133285284.019573,50452844768.26758
11,0.8,0.8,4.123728813559322,35746871127.869705,18133285284.019573,50452844768.26758
12,0.8,0.8,4.04406779661017,35746871127.869705,18133285284.019573,50452844768.26758
13,0.8,0.8,3.964406779661017,35746871127.869705,18133285284.019573,50452844768.26758
14,0.8,0.8,3.884745762711864,35746871127.869705,18133285284.019573,50452844768.26758
15,0.8,0.8,3.805084745762712,35746871127.869705,18133285284.019573,50452844768.26758
16,0.8,0.8,3.725423728813559,35746871127.869705,18133285284.019573,50452844768.26758
17,0.8,0.8,3.645762711864407,35746871127.869705,18133285284.019573,50452844768.26758
18,0.8,0.8,3.566101694915254,35746871127.869705,18133285284.019573,50452844768.26758
19,0.8,0.8,3.4864406779661015,35746871127.869705,18133285284.019573,50452844768.26758
20,0.8,0.8,3.406779661016949,35746871127.869705,18133285284.019573,50452844768.26758
21,0.8,0.8,3.3271186440677964,35746871127.869705,18133285284.019573,50452844768.26758
22,0.8,0.8,3.247457627118644,35746871127.869705,18133285284.019573,50452844768.26758
23,0.8,0.8,3.1677966101694914,35746871127.869705,18133285284.019573,50452844768.26758
24,0.8,0.8,3.088135593220339,35746871127.869705,18133285284.019573,50452844768.26758
25,0.8,0.8,3.008474576271186,35746871127.869705,18133285284.019573,50452844768.26758
26,0.8,0.8,2.928813559322034,35746871127.869705,18133285284.019573,50452844768.26758
27,0.8,0.8,2.849152542372881,35746871127.869705,18133285284.019573,50452844768.26758
28,0.8,0.8,2.7694915254237285,35746871127.869705,18133285284.019573,50452844768.26758
29,0.8,0.8,2.689830508474576,35746871127.869705,18133285284.019573,50452844768.26758
30,0.8,0.8,2.6101694915254234,35746871127.869705,18133285284.019573,50452844768.26758
31,0.8,0.8,2.530508474576271,35746871127.869705,18133285284.019573,50452844768.26758
32,0.8,0.8,2.4508474576271184,35746871127.869705,18133285284.019573,50452844768.26758
33,0.8,0.8,2.371186440677966,35746871127.869705,18133285284.019573,50452844768.26758
34,0.8,0.8,2.2915254237288134,35746871127.869705,18133285284.019573,50452844768.26758
35,0.8,0.8,2.211864406779661,35746871127.869705,18133285284.019573,50452844768.26758
36,0.8,0.8,2.1322033898305084,35746871127.869705,18133285284.019573,50452844768.26758
37,0.8,0.8,2.052542372881356,35746871127.869705,18133285284.019573,50452844768.26758
38,0.8,0.8,1.972881355932203,35746871127.869705,18133285284.019573,50452844768.26758
39,0.8,0.8,1.8932203389830504,35746871127.869705,18133285284.019573,50452844768.26758
40,0.8,0.8,1.813559322033898,35746871127.869705,18133285284.019573,50452844768.26758
41,0.8,0.8,1.7338983050847454,35746871127.869705,18133285284.019573,50452844768.26758
42,0.8,0.8,1.654237288135593,35746871127.869705,18133285284.019573,50452844768.26758
43,0.8,0.8,1.5745762711864404,35746871127.869705,18133285284.019573,50452844768.26758
44,0.8,0.8,1.4949152542372879,35746871127.869705,18133285284.019573,50452844768.26758
45,0.8,0.8,1.4152542372881354,35746871127.869705,18133285284.019573,50452844768.26758
46,0.8,0.8,1.3355932203389829,35746871127.869705,18133285284.019573,50452844768.26758
47,0.8,0.8,1.2559322033898304,35746871127.869705,18133285284.019573,50452844768.26758
48,0.8,0.8,1.1762711864406779,35746871127.869705,18133285284.019573,50452844768.26758
49,0.8,0.8,1.096610169491525,35746871127.869705,18133285284.019573,50452844768.26758
50,0.8,0.8,1.0169491525423724,35746871127.869705,18133285284.019573,50452844768.26758
51,0.8,0.8,0.9372881355932199,35746871127.869705,18133285284.019573,50452844768.26758
52,0.8,0.8,0.8576271186440678,35746871127.869705,18133285284.019573,50452844768.26758
53,0.8,0.8,0.7779661016949149,35746871127.869705,18133285284.019573,50452844768.26758
54,0.8,0.8,0.6983050847457619,35746871127.869705,18133285284.019573,50452844768.26758
55,0.8,0.8,0.6186440677966099,35746871127.869705,18133285284.019573,50452844768.26758
56,0.8,0.8,0.5389830508474569,35746871127.869705,18133285284.019573,50452844768.26758
57,0.8,0.8,0.45932203389830484,35746871127.869705,18133285284.019573,50452844768.26758
58,0.8,0.8,0.3796610169491519,35746871127.869705,18133285284.019573,50452844768.26758
59,0.8,0.8,0.3,35746871127.869705,18133285284.019573,50452844768.26758
