,SuperInsulating_01445,SuperInsulating_00795,Simple 1001,DistrictHeating:Facility,DistrictCooling:Facility,Electricity:Facility
0,0.4,0.4,5.0,37842408352.740524,19303292891.55117,50452844768.26758
1,0.4,0.4,4.920338983050847,37842408352.740524,19303292891.55117,50452844768.26758
2,0.4,0.4,4.840677966101695,37842408352.740524,19303292891.55117,50452844768.26758
3,0.4,0.4,4.761016949152542,37842408352.740524,19303292891.55117,50452844768.26758
4,0.4,0.4,4.68135593220339,37842408352.740524,19303292891.55117,50452844768.26758
5,0.4,0.4,4.601694915254237,37842408352.740524,19303292891.55117,50452844768.26758
6,0.4,0.4,4.522033898305085,37842408352.740524,19303292891.55117,50452844768.26758
7,0.4,0.4,4.442372881355932,37842408352.740524,19303292891.55117,50452844768.26758
8,0.4,0.4,4.36271186440678,37842408352.740524,19303292891.55117,50452844768.26758
9,0.4,0.4,4.283050847457627,37842408352.740524,19303292891.55117,50452844768.26758
10,0.4,0.4,4.203389830508474,37842408352.740524,19303292891.55117,50452844768.26758
11,0.4,0.4,4.123728813559322,37842408352.740524,19303292891.55117,50452844768.26758
12,0.4,0.4,4.04406779661017,37842408352.740524,19303292891.55117,50452844768.26758
13,0.4,0.4,3.964406779661017,37842408352.740524,19303292891.55117,50452844768.26758
14,0.4,0.4,3.884745762711864,37842408352.740524,19303292891.55117,50452844768.26758
15,0.4,0.4,3.805084745762712,37842408352.740524,19303292891.55117,50452844768.26758
16,0.4,0.4,3.725423728813559,37842408352.740524,19303292891.55117,50452844768.26758
17,0.4,0.4,3.645762711864407,37842408352.740524,19303292891.55117,50452844768.26758
18,0.4,0.4,3.566101694915254,37842408352.740524,19303292891.55117,50452844768.26758
19,0.4,0.4,3.4864406779661015,37842408352.740524,19303292891.55117,50452844768.26758
20,0.4,0.4,3.406779661016949,37842408352.740524,19303292891.55117,50452844768.26758
21,0.4,0.4,3.3271186440677964,37842408352.740524,19303292891.55117,50452844768.26758
22,0.4,0.4,3.247457627118644,37842408352.740524,19303292891.55117,50452844768.26758
23,0.4,0.4,3.1677966101694914,37842408352.740524,19303292891.55117,50452844768.26758
24,0.4,0.4,3.088135593220339,37842408352.740524,19303292891.55117,50452844768.26758
25,0.4,0.4,3.008474576271186,37842408352.740524,19303292891.55117,50452844768.26758
26,0.4,0.4,2.928813559322034,37842408352.740524,19303292891.55117,50452844768.26758
27,0.4,0.4,2.849152542372881,37842408352.740524,19303292891.55117,50452844768.26758
28,0.4,0.4,2.7694915254237285,37842408352.740524,19303292891.55117,50452844768.26758
29,0.4,0.4,2.689830508474576,37842408352.740524,19303292891.55117,50452844768.26758
30,0.4,0.4,2.6101694915254234,37842408352.740524,19303292891.55117,50452844768.26758
31,0.4,0.4,2.530508474576271,37842408352.740524,19303292891.55117,50452844768.26758
32,0.4,0.4,2.4508474576271184,37842408352.740524,19303292891.55117,50452844768.26758
33,0.4,0.4,2.371186440677966,37842408352.740524,19303292891.55117,50452844768.26758
34,0.4,0.4,2.2915254237288134,37842408352.740524,19303292891.55117,50452844768.26758
35,0.4,0.4,2.211864406779661,37842408352.740524,19303292891.55117,50452844768.26758
36,0.4,0.4,2.1322033898305084,37842408352.740524,19303292891.55117,50452844768.26758
37,0.4,0.4,2.052542372881356,37842408352.740524,19303292891.55117,50452844768.26758
38,0.4,0.4,1.972881355932203,37842408352.740524,19303292891.55117,50452844768.26758
39,0.4,0.4,1.8932203389830504,37842408352.740524,19303292891.55117,50452844768.26758
40,0.4,0.4,1.813559322033898,37842408352.740524,19303292891.55117,50452844768.26758
41,0.4,0.4,1.7338983050847454,37842408352.740524,19303292891.55117,50452844768.26758
42,0.4,0.4,1.654237288135593,37842408352.740524,19303292891.55117,50452844768.26758
43,0.4,0.4,1.5745762711864404,37842408352.740524,19303292891.55117,50452844768.26758
44,0.4,0.4,1.4949152542372879,37842408352.740524,19303292891.55117,50452844768.26758
45,0.4,0.4,1.4152542372881354,37842408352.740524,19303292891.55117,50452844768.26758
46,0.4,0.4,1.3355932203389829,37842408352.740524,19303292891.55117,50452844768.26758
47,0.4,0.4,1.2559322033898304,37842408352.740524,19303292891.55117,50452844768.26758
48,0.4,0.4,1.1762711864406779,37842408352.740524,19303292891.55117,50452844768.26758
49,0.4,0.4,1.096610169491525,37842408352.740524,19303292891.55117,50452844768.26758
50,0.4,0.4,1.0169491525423724,37842408352.740524,19303292891.55117,50452844768.26758
51,0.4,0.4,0.9372881355932199,37842408352.740524,19303292891.55117,50452844768.26758
52,0.4,0.4,0.8576271186440678,37842408352.740524,19303292891.55117,50452844768.26758
53,0.4,0.4,0.7779661016949149,37842408352.740524,19303292891.55117,50452844768.26758
54,0.4,0.4,0.6983050847457619,37842408352.740524,19303292891.55117,50452844768.26758
55,0.4,0.4,0.6186440677966099,37842408352.740524,19303292891.55117,50452844768.26758
56,0.4,0.4,0.5389830508474569,37842408352.740524,19303292891.55117,50452844768.26758
57,0.4,0.4,0.45932203389830484,37842408352.740524,19303292891.55117,50452844768.26758
58,0.4,0.4,0.3796610169491519,37842408352.740524,19303292891.55117,50452844768.26758
59,0.4,0.4,0.3,37842408352.740524,19303292891.55117,50452844768.26758
