,Thickness_roof,Thickness_walls,U-VALUE_windows,Watts,Electricity:Facility,DistrictHeating:Facility,DistrictCooling:Facility
0,0.01,0.01,0.3,6,29583361952.267567,85204343466.49583,25561472876.681576
1,0.15,0.15,0.9714285714285715,8,32564716640.26757,47741381735.34752,12716505032.643799
2,0.29,0.29,1.642857142857143,10,35546071328.26757,42334308813.38691,12455345938.986826
3,0.42999999999999994,0.42999999999999994,2.314285714285714,12,38527426016.26758,39873518471.64513,13144058143.142921
4,0.57,0.57,2.9857142857142858,6,29583361952.267567,40418734671.35011,9638207767.135004
5,0.71,0.71,3.6571428571428575,8,32564716640.26757,39258806763.65347,10457615526.546116
6,0.8499999999999999,0.8499999999999999,4.328571428571428,10,35546071328.26757,38307359545.909874,11353462365.495102
7,0.99,0.99,5.0,12,38527426016.26758,37469249976.54349,12386209004.68072
