,SuperInsulating_01445,SuperInsulating_00795,Simple 1001,DistrictHeating:Facility,DistrictCooling:Facility,Electricity:Facility
0,1.0,1.0,5.0,35287924674.45572,17925242925.3876,50452844768.26758
1,1.0,1.0,4.920338983050847,35287924674.45572,17925242925.3876,50452844768.26758
2,1.0,1.0,4.840677966101695,35287924674.45572,17925242925.3876,50452844768.26758
3,1.0,1.0,4.761016949152542,35287924674.45572,17925242925.3876,50452844768.26758
4,1.0,1.0,4.68135593220339,35287924674.45572,17925242925.3876,50452844768.26758
5,1.0,1.0,4.601694915254237,35287924674.45572,17925242925.3876,50452844768.26758
6,1.0,1.0,4.522033898305085,35287924674.45572,17925242925.3876,50452844768.26758
7,1.0,1.0,4.442372881355932,35287924674.45572,17925242925.3876,50452844768.26758
8,1.0,1.0,4.36271186440678,35287924674.45572,17925242925.3876,50452844768.26758
9,1.0,1.0,4.283050847457627,35287924674.45572,17925242925.3876,50452844768.26758
10,1.0,1.0,4.203389830508474,35287924674.45572,17925242925.3876,50452844768.26758
11,1.0,1.0,4.123728813559322,35287924674.45572,17925242925.3876,50452844768.26758
12,1.0,1.0,4.04406779661017,35287924674.45572,17925242925.3876,50452844768.26758
13,1.0,1.0,3.964406779661017,35287924674.45572,17925242925.3876,50452844768.26758
14,1.0,1.0,3.884745762711864,35287924674.45572,17925242925.3876,50452844768.26758
15,1.0,1.0,3.805084745762712,35287924674.45572,17925242925.3876,50452844768.26758
16,1.0,1.0,3.725423728813559,35287924674.45572,17925242925.3876,50452844768.26758
17,1.0,1.0,3.645762711864407,35287924674.45572,17925242925.3876,50452844768.26758
18,1.0,1.0,3.566101694915254,35287924674.45572,17925242925.3876,50452844768.26758
19,1.0,1.0,3.4864406779661015,35287924674.45572,17925242925.3876,50452844768.26758
20,1.0,1.0,3.406779661016949,35287924674.45572,17925242925.3876,50452844768.26758
21,1.0,1.0,3.3271186440677964,35287924674.45572,17925242925.3876,50452844768.26758
22,1.0,1.0,3.247457627118644,35287924674.45572,17925242925.3876,50452844768.26758
23,1.0,1.0,3.1677966101694914,35287924674.45572,17925242925.3876,50452844768.26758
24,1.0,1.0,3.088135593220339,35287924674.45572,17925242925.3876,50452844768.26758
25,1.0,1.0,3.008474576271186,35287924674.45572,17925242925.3876,50452844768.26758
26,1.0,1.0,2.928813559322034,35287924674.45572,17925242925.3876,50452844768.26758
27,1.0,1.0,2.849152542372881,35287924674.45572,17925242925.3876,50452844768.26758
28,1.0,1.0,2.7694915254237285,35287924674.45572,17925242925.3876,50452844768.26758
29,1.0,1.0,2.689830508474576,35287924674.45572,17925242925.3876,50452844768.26758
30,1.0,1.0,2.6101694915254234,35287924674.45572,17925242925.3876,50452844768.26758
31,1.0,1.0,2.530508474576271,35287924674.45572,17925242925.3876,50452844768.26758
32,1.0,1.0,2.4508474576271184,35287924674.45572,17925242925.3876,50452844768.26758
33,1.0,1.0,2.371186440677966,35287924674.45572,17925242925.3876,50452844768.26758
34,1.0,1.0,2.2915254237288134,35287924674.45572,17925242925.3876,50452844768.26758
35,1.0,1.0,2.211864406779661,35287924674.45572,17925242925.3876,50452844768.26758
36,1.0,1.0,2.1322033898305084,35287924674.45572,17925242925.3876,50452844768.26758
37,1.0,1.0,2.052542372881356,35287924674.45572,17925242925.3876,50452844768.26758
38,1.0,1.0,1.972881355932203,35287924674.45572,17925242925.3876,50452844768.26758
39,1.0,1.0,1.8932203389830504,35287924674.45572,17925242925.3876,50452844768.26758
40,1.0,1.0,1.813559322033898,35287924674.45572,17925242925.3876,50452844768.26758
41,1.0,1.0,1.7338983050847454,35287924674.45572,17925242925.3876,50452844768.26758
42,1.0,1.0,1.654237288135593,35287924674.45572,17925242925.3876,50452844768.26758
43,1.0,1.0,1.5745762711864404,35287924674.45572,17925242925.3876,50452844768.26758
44,1.0,1.0,1.4949152542372879,35287924674.45572,17925242925.3876,50452844768.26758
45,1.0,1.0,1.4152542372881354,35287924674.45572,17925242925.3876,50452844768.26758
46,1.0,1.0,1.3355932203389829,35287924674.45572,17925242925.3876,50452844768.26758
47,1.0,1.0,1.2559322033898304,35287924674.45572,17925242925.3876,50452844768.26758
48,1.0,1.0,1.1762711864406779,35287924674.45572,17925242925.3876,50452844768.26758
49,1.0,1.0,1.096610169491525,35287924674.45572,17925242925.3876,50452844768.26758
50,1.0,1.0,1.0169491525423724,35287924674.45572,17925242925.3876,50452844768.26758
51,1.0,1.0,0.9372881355932199,35287924674.45572,17925242925.3876,50452844768.26758
52,1.0,1.0,0.8576271186440678,35287924674.45572,17925242925.3876,50452844768.26758
53,1.0,1.0,0.7779661016949149,35287924674.45572,17925242925.3876,50452844768.26758
54,1.0,1.0,0.6983050847457619,35287924674.45572,17925242925.3876,50452844768.26758
55,1.0,1.0,0.6186440677966099,35287924674.45572,17925242925.3876,50452844768.26758
56,1.0,1.0,0.5389830508474569,35287924674.45572,17925242925.3876,50452844768.26758
57,1.0,1.0,0.45932203389830484,35287924674.45572,17925242925.3876,50452844768.26758
58,1.0,1.0,0.3796610169491519,35287924674.45572,17925242925.3876,50452844768.26758
59,1.0,1.0,0.3,35287924674.45572,17925242925.3876,50452844768.26758
