,Thickness_roof,Thickness_walls,U-VALUE_windows,Watts,Electricity:Facility-ON,DistrictHeating:Facility-ON,DistrictCooling:Facility-ON,Electricity:Facility-OFF,DistrictHeating:Facility-OFF,DistrictCooling:Facility-OFF
30,0.5083050847457626,0.5083050847457626,2.6101694915254234,8,32564716640.26757,40308623863.5792,10729806760.509354,32564716640.26757,16283884549.534595,14526171911.595808
31,0.5249152542372881,0.5249152542372881,2.530508474576271,6,29583361952.267567,40697172298.861336,9723695891.946215,29583361952.267567,17110974035.93819,13125617310.928282
32,0.5415254237288135,0.5415254237288135,2.4508474576271184,12,38527426016.26758,39025095139.91126,12864790875.072628,38527426016.26758,14389874243.067625,17188912276.621143
33,0.5581355932203389,0.5581355932203389,2.371186440677966,10,35546071328.26757,39466541422.606964,11677216499.853748,35546071328.26757,15217661696.80345,15835058018.45198
34,0.5747457627118644,0.5747457627118644,2.2915254237288134,8,32564716640.26757,39890366928.97631,10614417007.981216,32564716640.26757,16056750357.983234,14430316426.208305
35,0.5913559322033898,0.5913559322033898,2.211864406779661,6,29583361952.267567,40290939746.88444,9632580901.15838,29583361952.267567,16890307515.674797,13041121966.324694
36,0.6079661016949152,0.6079661016949152,2.1322033898305084,12,38527426016.26758,38666517102.26439,12723470627.889229,38527426016.26758,14193585328.37278,17111627626.21784
37,0.6245762711864407,0.6245762711864407,2.052542372881356,10,35546071328.26757,39119900686.74255,11570203174.50119,35546071328.26757,15031601575.38369,15749103426.273512
38,0.641186440677966,0.641186440677966,1.972881355932203,8,32564716640.26757,39548540271.02224,10533223592.981342,32564716640.26757,15874928589.59727,14360681629.06771
39,0.6577966101694914,0.6577966101694914,1.8932203389830504,6,29583361952.267567,39968658114.35602,9538033960.746649,29583361952.267567,16720834767.938047,12959293213.080803
40,0.6744067796610169,0.6744067796610169,1.813559322033898,12,38527426016.26758,38370674866.005806,12641910825.72746,38527426016.26758,14033492876.97346,17052999459.551924
41,0.6910169491525423,0.6910169491525423,1.7338983050847454,10,35546071328.26757,38831138791.804184,11499961179.849854,35546071328.26757,14877396290.92691,15690999886.755365
42,0.7076271186440677,0.7076271186440677,1.654237288135593,8,32564716640.26757,39268072429.665,10459505180.452984,32564716640.26757,15725101849.214672,14299402997.283152
43,0.7242372881355932,0.7242372881355932,1.5745762711864404,6,29583361952.267567,39697355860.545944,9456679535.685953,29583361952.267567,16576946535.52918,12898141210.98141
44,0.7408474576271186,0.7408474576271186,1.4949152542372879,12,38527426016.26758,38124557259.69279,12570994551.93036,38527426016.26758,13897938865.96305,17002954227.060802
45,0.757457627118644,0.757457627118644,1.4152542372881354,10,35546071328.26757,38587840999.24485,11413867177.776066,35546071328.26757,14748260111.197487,15616234942.86839
46,0.7740677966101694,0.7740677966101694,1.3355932203389829,8,32564716640.26757,39033178760.44735,10406752294.750582,32564716640.26757,15599115218.903557,14247467527.013134
47,0.7906779661016948,0.7906779661016948,1.2559322033898304,6,29583361952.267567,39469478530.83805,9411149591.63334,29583361952.267567,16454670553.165972,12845303558.773628
48,0.8072881355932202,0.8072881355932202,1.1762711864406779,12,38527426016.26758,37916292170.14375,12522845127.917423,38527426016.26758,13784860203.426624,16959771231.818388
49,0.8238983050847457,0.8238983050847457,1.096610169491525,10,35546071328.26757,38384741141.31872,11378132083.383606,35546071328.26757,14634719927.526133,15592599593.934685
50,0.8405084745762711,0.8405084745762711,1.0169491525423724,8,32564716640.26757,38832386293.47528,10365247573.48908,32564716640.26757,15492618782.024729,14203965044.633915
51,0.8571186440677966,0.8571186440677966,0.9372881355932199,6,29583361952.267567,39268708157.59622,9298856944.086596,29583361952.267567,16317373943.434465,12782889999.381428
52,0.873728813559322,0.873728813559322,0.8576271186440678,12,38527426016.26758,37731529661.78996,12463547658.203897,38527426016.26758,13660202705.841707,16917324058.858948
53,0.8903389830508474,0.8903389830508474,0.7779661016949149,10,35546071328.26757,38202712571.0959,11318960456.69118,35546071328.26757,14508313357.491207,15543383733.215717
54,0.9069491525423728,0.9069491525423728,0.6983050847457619,8,32564716640.26757,38653941379.77291,10265577420.357126,32564716640.26757,15369209935.00379,14148847974.182564
55,0.9235593220338982,0.9235593220338982,0.6186440677966099,6,29583361952.267567,39098375442.820496,9263669213.42194,29583361952.267567,16227271338.728933,12743295040.903976
56,0.9401694915254236,0.9401694915254236,0.5389830508474569,12,38527426016.26758,37574702479.6996,12421083075.84744,38527426016.26758,13576483539.093533,16885150568.260084
57,0.9567796610169491,0.9567796610169491,0.45932203389830484,10,35546071328.26757,38046619204.16417,11285178553.135298,35546071328.26757,14426519848.872341,15510458208.75691
58,0.9733898305084745,0.9733898305084745,0.3796610169491519,8,32564716640.26757,38502334364.731,10233596078.933893,32564716640.26757,15289113329.959515,14115966668.685116
59,0.99,0.99,0.3,6,29583361952.267567,38948429004.784645,9213170571.905558,29583361952.267567,16149105119.431482,12708770352.998116
