,SuperInsulating_01445,Simple 1001,SuperInsulating_00795,DistrictHeating:Facility,DistrictCooling:Facility,Electricity:Facility
0,0.2,0.9,0.01,51607516498.877655,22451005952.150597,50452844768.26758
1,0.2,0.9,0.108,42754344833.06069,20632462922.81935,50452844768.26758
2,0.2,0.9,0.20600000000000002,41488040509.41415,20372476122.345753,50452844768.26758
3,0.2,0.9,0.30400000000000005,40980886153.81511,20259977546.181435,50452844768.26758
4,0.2,0.9,0.402,40708651872.30583,20209181756.40205,50452844768.26758
5,0.2,0.9,0.5,40539361871.65335,20160783896.84174,50452844768.26758
