date,Temp_in_2,Temp_in_3,Temp_in_1,Temp_out,Cooling,Heating,Electricity,Temp_in,deltaT,Power
2018-08-24 06:00:00,26.391948267200213,26.39223221245816,26.293761841972284,17.6,0.0,0.0,303330.76601256,26.35931410721022,8.75931410721022,0.0
2018-08-24 07:00:00,26.001803943786374,25.884848523862942,25.948928635961728,17.925,12725923.553468635,169509.1470447554,15179108.724000003,25.94519370120368,8.02019370120368,0.04708587417909872
2018-08-24 08:00:00,25.999443996112046,25.84613304774921,25.95275905211636,18.375,10780987.192887552,339018.2940895108,15179108.724000003,25.932778698659206,7.557778698659206,0.09417174835819744
2018-08-24 09:00:00,26.022565125264343,25.846190102943286,25.979025786461808,18.875,13663942.527934005,678036.5881790215,15179108.724000003,25.949260338223144,7.074260338223144,0.18834349671639486
2018-08-24 10:00:00,26.05388120684081,25.858991341173528,26.01307751119809,19.375,15714799.390566966,678036.5881790215,15179108.724000003,25.975316686404142,6.600316686404142,0.18834349671639486
2018-08-24 11:00:00,26.099630316000308,25.885876029719967,26.061417884807373,20.4,17744056.57279998,678036.5881790215,15179108.724000003,26.015641410175885,5.615641410175886,0.18834349671639486
2018-08-24 12:00:00,26.15804354032605,25.924499522275198,26.122486730012625,21.675,19344936.185760174,508527.44113426615,15179108.724000003,26.068343264204625,4.393343264204624,0.14125762253729615
2018-08-24 13:00:00,26.228155364179212,25.97371943740573,26.195569494974013,22.75,21302925.8386406,508527.44113426615,15179108.724000003,26.13248143218632,3.382481432186321,0.14125762253729615
2018-08-24 14:00:00,26.305920685551353,26.030726160096272,26.27673868517576,23.0,23041637.940232877,678036.5881790215,15179108.724000003,26.2044618436078,3.204461843607799,0.18834349671639486
2018-08-24 15:00:00,26.379916709239467,26.08657465013729,26.35432639916416,23.0,24055845.0247767,678036.5881790215,15179108.724000003,26.273605919513642,3.273605919513642,0.18834349671639486
2018-08-24 16:00:00,26.44210788676614,26.13399561633001,26.419710557950076,23.0,24960693.53675585,678036.5881790215,15179108.724000003,26.331938020348744,3.331938020348744,0.18834349671639486
2018-08-24 17:00:00,26.477130458204446,26.160350032028557,26.45679920236661,22.85,22424593.1482353,339018.2940895108,15179108.724000003,26.364759897533204,3.514759897533203,0.09417174835819744
