,SuperInsulating_01445,SuperInsulating_00795,Simple 1001,DistrictHeating:Facility,DistrictCooling:Facility
0,0.4,0.4,0.01,37842408352.740524,19303292891.55117
1,0.4,0.4,0.255,37842408352.740524,19303292891.55117
2,0.4,0.4,0.5,37842408352.740524,19303292891.55117
3,0.4,0.4,0.745,37842408352.740524,19303292891.55117
4,0.4,0.4,0.99,37842408352.740524,19303292891.55117
