,SuperInsulating_01445,Simple 1001,SuperInsulating_00795,DistrictHeating:Facility,DistrictCooling:Facility,Electricity:Facility
0,0.1,0.4,0.01,55324836213.82283,23339579231.929573,50452844768.26758
1,0.1,0.4,0.108,47251607852.03836,21698378153.26278,50452844768.26758
2,0.1,0.4,0.20600000000000002,46123847980.434586,21483420006.583977,50452844768.26758
3,0.1,0.4,0.30400000000000005,45673360976.719635,21368912908.899185,50452844768.26758
4,0.1,0.4,0.402,45432330136.246994,21312587197.19953,50452844768.26758
5,0.1,0.4,0.5,45283693154.96912,21277212958.451546,50452844768.26758
